Name,Borough,Latitude,Longitude
Crown Inn (Pub),Bromley,51.41065024,0.072958091
Bull's Head Hotel (Pub),Bromley,51.4115877,0.075373313
Sydney Arms (Pub),Bromley,51.41507369,0.086691584
Man on the Moon (Pub),Croydon,51.35214354,-0.018049831
Keg & Grill (Pub),Croydon,51.36688901,-0.098741311
Joker (Pub),Croydon,51.36564764,-0.098720852
Obia Bar & Grill (Pub),Croydon,51.36564764,-0.098720852
Surrey Cricketers (Pub),Croydon,51.36817792,-0.100584379
Apatura Lounge Restaurant (Pub),Croydon,51.3670308,-0.099166437
Scream Lounge (Pub),Croydon,51.36649322,-0.099289243
Treehouse (Pub),Croydon,51.36573715,-0.099248691
Skylark (Pub),Croydon,51.36573715,-0.099248691
Matthews Yard (Pub),Croydon,51.37216106,-0.101094935
Milan Bar (Pub),Croydon,51.37299242,-0.10078756
Slug & Lettuce (Pub),Croydon,51.37379024,-0.097306121
George (Pub),Croydon,51.37413452,-0.098570663
Cronx (Pub),Croydon,51.37479071,-0.09467828
Beatbox (Pub),Croydon,51.37479071,-0.09467828
Green Dragon (Pub),Croydon,51.37106387,-0.100536859
Memory Box (Pub),Croydon,51.37106387,-0.100536859
Crown & Pepper (Pub),Croydon,51.36889468,-0.09986512
South Beats (Pub),Croydon,51.36805168,-0.099454625
Spreadeagle (Pub),Croydon,51.37252668,-0.099240697
Ship (Pub),Croydon,51.37203646,-0.100065593
Dog & Bull (Pub),Croydon,51.37285221,-0.101569243
Market Tavern (Pub),Croydon,51.37285221,-0.101569243
Art & Craft CR0 (Pub),Croydon,51.37257074,-0.100848104
Mr Fox (Pub),Croydon,51.37257074,-0.100848104
Royal Standard (Pub),Croydon,51.36979211,-0.101968713
Bulls Head (Pub),Croydon,51.36965024,-0.100983241
Bishop's Wine Bar (Pub),Croydon,51.37537687,-0.100315345
Luna (Pub),Croydon,51.37351915,-0.100550249
Dice (Pub),Croydon,51.37245824,-0.100565395
Alchemy (Pub),Croydon,51.37293916,-0.098059795
Windmill (Pub),Croydon,51.38152294,-0.093364131
Two Brewers (Pub),Croydon,51.38805712,-0.089829876
Bedford Tavern (Pub),Croydon,51.38021848,-0.094438617
Olde Clock Tower (Pub),Croydon,51.3850204,-0.097745921
Pawson's Arms (Pub),Croydon,51.39307687,-0.096017248
Lion Inn (Pub),Croydon,51.39179442,-0.099002789
Phoenix (Pub),Croydon,51.37866093,-0.101530191
Old Fox & Hounds (Pub),Croydon,51.37866054,-0.103728784
Saints & Sinners (Pub),Croydon,51.38750633,-0.110779239
Golden Lion (Pub),Croydon,51.38670397,-0.116245013
Wandle Arms (Pub),Croydon,51.37403099,-0.108288017
Waddon (Pub),Croydon,51.36658806,-0.116855179
Hare & Hounds (Pub),Croydon,51.37225805,-0.117139819
Plough (Pub),Sutton,51.36720601,-0.131871226
Harvest Home (Pub),Sutton,51.3720324,-0.13170352
Frankie & Benny's (Pub),Croydon,51.37725783,-0.123300283
Beach Road Cafe Bar (Pub),Croydon,51.37812235,-0.124500703
Cricketers Inn (Pub),Croydon,51.35860389,-0.030009168
Surprise (Pub),Croydon,51.36775447,-0.053450486
Coombe Lodge (Pub),Croydon,51.36253201,-0.07152741
Orchard (Pub),Croydon,51.37795449,-0.089603771
Oval Tavern (Pub),Croydon,51.37811642,-0.088504926
Porter & Sorter (Pub),Croydon,51.37598554,-0.091841076
Alma Tavern (Pub),Croydon,51.37957376,-0.081934471
Cricketers (Pub),Croydon,51.37524246,-0.083782213
Builders Arms (Pub),Croydon,51.37934809,-0.086829813
Claret & Ale (Pub),Croydon,51.37999175,-0.073438331
Cricketers (Pub),Croydon,51.38159585,-0.062750755
Orchard (Pub),Croydon,51.38617506,-0.040164969
Crown (Pub),Croydon,51.37365452,-0.054579694
Shirley Inn (Pub),Croydon,51.37428835,-0.050515203
Forestdale Arms (Pub),Croydon,51.35086948,-0.038024514
Randall Tavern (Pub),Croydon,51.35470678,-0.020194018
Toby Carvery (Pub),Croydon,51.35555484,-0.097443647
Purley Arms (Pub),Croydon,51.35125181,-0.098828207
Whelan's (Pub),Croydon,51.36275481,-0.096685787
Crown & Sceptre (Pub),Croydon,51.3594789,-0.096534189
Croham Arms (Pub),Croydon,51.36232192,-0.094951191
Sir Julian Huxley (Pub),Croydon,51.34365003,-0.061895681
Golden Ark (Pub),Croydon,51.34365003,-0.061895681
Fox (Pub),Croydon,51.29595442,-0.108843337
Gardeners Arms (Pub),Merton,51.41018587,-0.161697239
White Lion of Mortimer (Pub),Merton,51.40706646,-0.163490292
Kings Arms (Pub),Merton,51.40661892,-0.164198403
Crown Inn (Pub),Merton,51.39797593,-0.172192498
Surrey Arms (Pub),Merton,51.40013778,-0.181091749
Windmill (Pub),Merton,51.40301655,-0.161567795
Park Place (Pub),Merton,51.40030978,-0.160425571
Crown of Mitcham (Pub),Merton,51.39010833,-0.159038238
Ravensbury (Pub),Merton,51.39765261,-0.157858316
Tudor Rose (Pub),Croydon,51.30482428,-0.119081657
Coulsdon Manor Hotel (Pub),Croydon,51.3172855,-0.125073768
Pembroke (Pub),Croydon,51.32084686,-0.139194198
Smugglers Inn (Pub),Croydon,51.31916825,-0.150183259
Plough on the Pond (Pub),Croydon,51.39440337,-0.114102892
Railway Telegraph (Pub),Croydon,51.39779798,-0.101556967
Welcome Inn (Pub),Croydon,51.40684703,-0.10448903
Prince George (Pub),Croydon,51.39823583,-0.093632131
Elliotts (Pub),Croydon,51.33840381,-0.11569841
Jolly Farmers (Pub),Croydon,51.3380259,-0.116245119
Foxley Hatch (Pub),Croydon,51.33927119,-0.117629856
Pear Tree (Pub),Croydon,51.33955415,-0.115651256
Kenley Hotel (Pub),Croydon,51.32565786,-0.100475077
Wattenden Arms (Pub),Croydon,51.30752188,-0.102887877
Whistler's Bar (Pub),Croydon,51.37306234,-0.091258488
Alma (Pub),Bexley,51.43214172,0.103324302
White Cross (Pub),Bexley,51.43025866,0.138800842
Seven Stars (Pub),Bexley,51.41858174,0.118709447
Star at Sidcup Place (Pub),Bexley,51.42504206,0.102552212
Tailor's Chalk (Pub),Bexley,51.4261734,0.103654274
Hopper's Hut (Pub),Bexley,51.42448993,0.106755908
Hill Top Tap (Pub),Bexley,51.42627173,0.100177606
Horse & Groom (Pub),Bexley,51.42720286,0.093876354
Charcoal (Pub),Bexley,51.43045906,0.085767513
Bear & Ragged Staff (Pub),Bexley,51.45198369,0.176533955
One Bell (Pub),Bexley,51.4538178,0.17462046
Duke's Head (Pub),Bexley,51.45345546,0.176215354
Crayford Arms (Pub),Bexley,51.45230937,0.177398675
Penny Farthing (Pub),Bexley,51.45229831,0.17847767
Hackney Carriage (Pub),Bexley,51.43524188,0.101956062
Iron Horse (Pub),Bexley,51.4348172,0.102569613
Halfway House (Pub),Bexley,51.4411169,0.087217459
Black Boy (Pub),Greenwich,51.44500009,0.084789823
Olde Black Horse (Pub),Bexley,51.43732703,0.098008688
George Staples (Pub),Bexley,51.45120194,0.100588221
Jolly Fenman (Pub),Bexley,51.45151414,0.092182543
Hangar (Pub),Bexley,51.44511651,0.102438608
Broken Drum (Pub),Bexley,51.45173034,0.103217644
Wings Sports Bar (Pub),Bexley,51.46043906,0.116013208
"Guy, Earl Of Warwick (Pub)",Bexley,51.46103324,0.115479266
Wrong 'Un (Pub),Bexley,51.45782054,0.137412455
Rose & Crown (Pub),Bexley,51.46202013,0.112616835
Door Hinge (Pub),Bexley,51.46202013,0.112616835
Nags Head (Pub),Bexley,51.46202013,0.112616835
Foresters Arms (Pub),Bexley,51.47471206,0.109459309
Green Man (Pub),Bexley,51.4669008,0.092195481
New Cross Turnpike (Pub),Bexley,51.46281559,0.104389821
Plough & Harrow (Pub),Bexley,51.46346161,0.100460376
We Anchor In Hope (Pub),Bexley,51.46630782,0.085602896
Prince of Wales (Pub),Bexley,51.4836051,0.142248649
Eardley Arms (Pub),Bexley,51.48400955,0.140784068
Royal Standard (Pub),Bexley,51.4819135,0.145741183
Fox (Pub),Bexley,51.4811251,0.144595153
Village Inn (Pub),Bexley,51.48000423,0.143433565
Victoria (Pub),Bexley,51.48218038,0.141965784
Halfway House (Pub),Bexley,51.49048373,0.16141344
Morgan (Pub),Bexley,51.49698825,0.156390825
Great Harry (Pub),Bexley,51.4775217,0.148371921
Kings Head (Pub),Bexley,51.44178041,0.150016731
Tanyard Lane (Pub),Bexley,51.44178041,0.150016731
Railway Tavern (Pub),Bexley,51.44130283,0.149087729
George (Pub),Bexley,51.44156318,0.150092864
Three Blackbirds (Pub),Bexley,51.44825188,0.122573191
Anchor (Pub),Bexley,51.44527735,0.133847211
Millers Arms (Pub),Bexley,51.44100113,0.151807618
Traders (Pub),Bexley,51.44638144,0.154118683
Black Horse (Pub),Bexley,51.44535202,0.149939949
Miller & Carter (Pub),Bexley,51.44803113,0.160255399
Albany (Pub),Bexley,51.43628716,0.127758974
Kings Arms (Pub),Bexley,51.45694569,0.143460499
Carved (Pub),Bexley,51.45694569,0.143460499
Furze Wren (Pub),Bexley,51.45664518,0.14661322
Rose (Pub),Bexley,51.45696762,0.140784113
Brewers Fayre (Pub),Bexley,51.45519132,0.142025187
Marriott Hotel (Pub),Bexley,51.45506823,0.152181674
Prince Albert (Pub),Bexley,51.45547231,0.152704497
Twin Palace (Pub),Bexley,51.45547231,0.152704497
Frankie & Benny's (Pub),Bexley,51.45608879,0.149984183
Coach House (Pub),Bexley,51.45505741,0.15472893
Golden Lion (Pub),Bexley,51.45805256,0.135537557
Crook Log (Pub),Bexley,51.45896775,0.12724543
Danson Stables (Pub),Bexley,51.45576942,0.122605564
Royal Oak (Pub),Bexley,51.45213912,0.129388899
Celebrations @ Bexley (Pub),Bexley,51.45637743,0.136164625
Robin Hood & Little John (Pub),Bexley,51.45456449,0.135964753
Volunteer (Pub),Bexley,51.46034916,0.137818628
William Camden (Pub),Bexley,51.46220235,0.131858867
Jolly Millers (Pub),Bexley,51.45842235,0.152195639
Kentish Belle (Pub),Bexley,51.46432072,0.133066266
Yacht (Pub),Bexley,51.46597049,0.145654727
Traveller's Home (Pub),Bexley,51.4625545,0.151958345
Earl Haig (Pub),Bexley,51.47298833,0.140555628
Red Barn (Pub),Bexley,51.46570188,0.158326282
Bird & Barrel (Pub),Bexley,51.46570188,0.158326282
Ship (Pub),Bexley,51.48558205,0.172142539
Duchess Of Kent (Pub),Bexley,51.47415913,0.157141804
Brewer's Arms (Pub),Bexley,51.47230804,0.159991902
Running Horses (Pub),Bexley,51.48165793,0.181029391
Corner Pin (Pub),Bexley,51.47157272,0.19281659
Royal Oak (Pub),Bexley,51.47256109,0.16187581
Pepper's Ghost (Pub),Waltham Forest,51.57299318,-0.00874598
Lion & Key Hotel (Pub),Waltham Forest,51.56427756,-0.011290931
Coach & Horses (Pub),Waltham Forest,51.56100335,-0.010178601
Leyton Technical (Pub),Waltham Forest,51.55931495,-0.008189271
William the Fourth (Pub),Waltham Forest,51.57465249,-0.011141295
Signature Brewery Tap (Pub),Waltham Forest,51.56425314,-0.022084503
Bootlaces (Pub),Waltham Forest,51.57440018,-0.013764414
Drum (Pub),Waltham Forest,51.57516032,-0.013514811
Hare & Hounds (Pub),Waltham Forest,51.56914362,-0.027875386
George Tavern (Pub),Tower Hamlets,51.51434628,-0.052885865
Peacock (Pub),Tower Hamlets,51.51585556,-0.046306659
Walnut Tree (Pub),Waltham Forest,51.56952371,0.012227803
Sir Alfred Hitchcock Hotel (Pub),Waltham Forest,51.57637297,0.011880716
Eagle (Pub),Redbridge,51.58314502,0.020724546
Cuckfield (Pub),Redbridge,51.5796556,0.024394658
Duke (Pub),Redbridge,51.58222655,0.028088432
Nightingale on the Green (Pub),Redbridge,51.58222655,0.028088432
Palm Tree (Pub),Tower Hamlets,51.52914953,-0.0389322
Luppolo (Pub),Redbridge,51.57623245,0.027345546
George (Pub),Redbridge,51.5765457,0.027951188
Manor House (Pub),Redbridge,51.5765457,0.027951188
Red Lion (Pub),Waltham Forest,51.5685821,0.011551344
Birds (Pub),Waltham Forest,51.5685821,0.011551344
North Star (Pub),Waltham Forest,51.56979995,0.015515586
O'Neill's (Pub),Waltham Forest,51.5702506,0.014409966
Bell (Pub),Waltham Forest,51.56085163,0.008743209
Leytonstone Tavern (Pub),Waltham Forest,51.55927649,0.012496856
Heathcote & Star (Pub),Waltham Forest,51.56513416,0.002843133
Northcote Arms (Pub),Waltham Forest,51.56046526,-0.0012717
Birkbeck Tavern (Pub),Waltham Forest,51.55610664,0.000672209
Plough & Harrow (Pub),Waltham Forest,51.55812975,0.006473774
Shepherd's Inn (Pub),Waltham Forest,51.5594493,0.007137769
Urban Bar (Pub),Tower Hamlets,51.51932052,-0.057300611
Blind Beggar (Pub),Tower Hamlets,51.52001843,-0.057631259
Indo (Pub),Tower Hamlets,51.51775745,-0.066101984
Stable (Pub),Tower Hamlets,51.51673973,-0.067644126
Castle (Pub),Tower Hamlets,51.51481603,-0.069325423
Dog & Truck (Pub),Tower Hamlets,51.51315669,-0.066859033
Blakesley Arms (Pub),Newham,51.55163105,0.046864183
Golden Fleece (Pub),Newham,51.55466577,0.045081829
William The Conqueror (Pub),Redbridge,51.56256655,0.03703928
Good Samaritan (Pub),Tower Hamlets,51.51733389,-0.06114719
Hungerford Arms (Pub),Tower Hamlets,51.51443515,-0.058243653
Thomas Neale (Pub),Tower Hamlets,51.51355448,-0.056652505
Dean Swift (Pub),Tower Hamlets,51.51374626,-0.055203075
Black Lion (Pub),Newham,51.53102322,0.020751985
Victoria Tavern (Pub),Newham,51.529934,0.021857157
Lamb (Pub),Newham,51.53375025,0.021665755
Red House (Pub),Newham,51.52032693,0.017842498
Charlie's Bar (Pub),Newham,51.52032693,0.017842498
Abbey (Pub),Newham,51.52114742,0.020848187
Army & Navy (Pub),Newham,51.52151225,0.023156289
Lord Stanley (Pub),Newham,51.53143156,0.02470615
Queens (Pub),Newham,51.53424312,0.035270106
Manor Arms (Pub),Tower Hamlets,51.51088097,-0.01567855
Greenwich Pensioner (Pub),Tower Hamlets,51.5097961,-0.010566479
Hope & Anchor (Pub),Tower Hamlets,51.51047805,-0.012597595
Ship (Pub),Tower Hamlets,51.48806131,-0.018600394
Great Eastern (Pub),Tower Hamlets,51.48873556,-0.006385013
Ferry House (Pub),Tower Hamlets,51.4864119,-0.012535993
George (Pub),Tower Hamlets,51.49570949,-0.011943972
Ledger Building (Pub),Tower Hamlets,51.50761933,-0.0238327
Sipping Room (Pub),Tower Hamlets,51.50751782,-0.02261219
Browns (Pub),Tower Hamlets,51.50751782,-0.02261219
Burger & Lobster (Pub),Tower Hamlets,51.50751782,-0.02261219
Merchant (Pub),Tower Hamlets,51.50591046,-0.021687529
Davy's (Pub),Tower Hamlets,51.50591046,-0.021687529
Limehouse (Pub),Tower Hamlets,51.50591046,-0.021687529
Pagination (Pub),Tower Hamlets,51.50518184,-0.021675881
Henry Addington (Pub),Tower Hamlets,51.50451369,-0.022050673
Slug & Lettuce (Pub),Tower Hamlets,51.50480489,-0.023853688
Parlour (Pub),Tower Hamlets,51.50493819,-0.019496146
Sports Bar & Grill (Pub),Tower Hamlets,51.50618532,-0.018260389
All Bar One (Pub),Tower Hamlets,51.5041547,-0.020495585
Brodieâs (Bar & Kitchen) (Pub),Tower Hamlets,51.50570351,-0.02008257
BrewDog Canary Wharf (Pub),Tower Hamlets,51.50513102,-0.014415528
Rocket by Balls Brothers (Pub),Tower Hamlets,51.50513102,-0.014415528
Festival Inn (Pub),Tower Hamlets,51.51239093,-0.015627297
Callaghanns (Pub),Tower Hamlets,51.51296986,-0.014232949
George IV (Pub),Tower Hamlets,51.51201586,-0.011536184
Crown (Pub),Tower Hamlets,51.51155932,-0.02870626
Star Of The East (Pub),Tower Hamlets,51.51243922,-0.029158265
Craft Beer Co. (Pub),Tower Hamlets,51.51260585,-0.040176453
Queens Head (Pub),Tower Hamlets,51.51368052,-0.038833164
Old Ship (Pub),Tower Hamlets,51.51391328,-0.039846461
Prince Regent (Pub),Tower Hamlets,51.51421757,-0.036532864
Grapes (Pub),Tower Hamlets,51.50854664,-0.032986749
Narrow (Pub),Tower Hamlets,51.50854664,-0.032986749
Tooke Arms (Pub),Tower Hamlets,51.49813334,-0.025525611
28West (Pub),Tower Hamlets,51.50608934,-0.028034672
Gun (Pub),Tower Hamlets,51.50241521,-0.007530952
Pepper Saint Ontiod (Pub),Tower Hamlets,51.49639619,-0.017446314
Half Moon (Pub),Tower Hamlets,51.52221455,-0.045299154
Horn Of Plenty (Pub),Tower Hamlets,51.52241298,-0.046415049
Bancroft Arms (Pub),Tower Hamlets,51.52277361,-0.039999133
White Hart (Pub),Tower Hamlets,51.52056015,-0.054509012
Builders Arms (Pub),Newham,51.5385404,-0.001756536
Railway Tavern (Pub),Newham,51.54508163,0.000145311
Bar One (Pub),Newham,51.54687855,0.005502815
Eagle (Pub),Newham,51.54930033,-0.000448531
Sportsman (Pub),Newham,51.54167893,0.001928528
Goldengrove (Pub),Newham,51.54406167,0.004052156
012 Bar & Grill (Pub),Newham,51.54406167,0.004052156
Cart & Horses (Pub),Newham,51.54583769,0.004317681
Leyton Star (Pub),Waltham Forest,51.55450552,-0.005110421
Carpenters Arms (Pub),Newham,51.53765039,-0.005472619
Britannia (Pub),Newham,51.53413768,0.012743303
City View Hotel (Pub),Newham,51.53621352,0.007586222
King Edward VII (Pub),Newham,51.54092952,0.002631102
Olde Black Bull (Pub),Newham,51.54092952,0.002631102
Refreshment Room (Pub),Newham,51.54092952,0.002631102
Secret Weapon (Pub),Newham,51.53949188,0.004139812
Queens Head (Pub),Newham,51.53949188,0.004139812
Greyhound (Pub),Newham,51.53754178,0.005640321
Abbey Tap (Pub),Newham,51.54048291,0.000347451
Pride of Spitalfields (Pub),Tower Hamlets,51.51905982,-0.070371079
Carpenters Arms (Pub),Tower Hamlets,51.52301875,-0.055269096
Fox @ Excel (Pub),Newham,51.5089351,0.025005525
Streeties (Pub),Newham,51.51286736,0.011819914
Fox @ Connaught (Pub),Newham,51.50880154,0.039453794
Beckton Arms (Pub),Newham,51.51732365,0.014164043
Husk Brewing Taproom (Pub),Newham,51.5043959,0.018622319
Henley Arms (Pub),Newham,51.50080079,0.058331632
Royal Standard Hotel (Pub),Newham,51.50016005,0.063576221
Brick Lane Brews (Pub),Newham,51.50414751,0.04643613
Reach Bar (Pub),Newham,51.5063395,0.073697781
Custom House (Pub & Kitchen) (Pub),Newham,51.51019552,0.028044594
Princess Alexandra (Pub),Newham,51.51926305,0.015388325
Durham Arms (Pub),Newham,51.51901332,0.00373073
Gun (Pub),Tower Hamlets,51.51893817,-0.076646432
English Restaurant (Pub),Tower Hamlets,51.51893817,-0.076646432
Water Poet (Pub),Tower Hamlets,51.52098164,-0.077324282
Grocer (Pub),Tower Hamlets,51.51981435,-0.076335622
Galvin Hop (Pub),Tower Hamlets,51.52020642,-0.078308316
Boxbar (Pub),Hackney,51.523456,-0.076311817
Juno (Pub),Hackney,51.52641938,-0.078248428
Barrio East (Pub),Hackney,51.52641938,-0.078248428
Corner Shop (Pub),Hackney,51.52641938,-0.078248428
Dragon (Pub),Hackney,51.52641938,-0.078248428
Shoreditch (Pub),Hackney,51.52641938,-0.078248428
Dirty Bones (Pub),Tower Hamlets,51.52419595,-0.074276801
BrewDog Shoreditch (Pub),Tower Hamlets,51.52423307,-0.073799508
Culpeper (Pub),Tower Hamlets,51.51633038,-0.072273765
Ten Bells (Pub),Tower Hamlets,51.51907791,-0.073656779
Golden Heart (Pub),Tower Hamlets,51.51991389,-0.074183653
Commercial Tavern (Pub),Tower Hamlets,51.52189519,-0.076002831
Momento Lounge Bar (Pub),Hackney,51.52249846,-0.077692822
Goose Island Brewpub (Pub),Hackney,51.52244429,-0.078228473
Crown & Shuttle (Pub),Hackney,51.52244429,-0.078228473
Montys Bar & Lounge (Pub),Tower Hamlets,51.5241176,-0.07169966
Goose (Pub),Waltham Forest,51.58378351,-0.019331596
Flowerpot (Pub),Waltham Forest,51.58812652,-0.004461517
Duke's Head (Pub),Waltham Forest,51.58812652,-0.004461517
Empire Lounge (Pub),Waltham Forest,51.59321518,0.009289091
William Morris (Pub),Waltham Forest,51.5911196,-0.0080841
Bell (Pub),Waltham Forest,51.59011339,-0.01609708
"Mirth, Marvel & Maud (Pub)",Waltham Forest,51.58649918,-0.0203974
Victoria (Pub),Waltham Forest,51.58649918,-0.0203974
Olde Rose & Crown (Pub),Waltham Forest,51.58698368,-0.020333057
Dog & Duck (Pub),Waltham Forest,51.59840443,-0.015043147
Wild Card Brewery Taproom (Pub),Waltham Forest,51.59535389,-0.042219858
Warrant Officer (Pub),Waltham Forest,51.59638278,-0.034912768
Prince Of Wales (Pub),Waltham Forest,51.59323176,-0.036838976
Lord Palmerston (Pub),Waltham Forest,51.58838306,-0.031893853
Chequers (Pub),Waltham Forest,51.58382536,-0.025551379
Coppermill (Pub),Waltham Forest,51.58011024,-0.040507247
Goergio's Sports Bar & Grill (Pub),Waltham Forest,51.58097181,-0.033411752
Wild Card Brewery Barrel Room (Pub),Waltham Forest,51.58389024,-0.008111232
Pillars Brewery Tap (Pub),Waltham Forest,51.58389024,-0.008111232
Lord Raglan (Pub),Waltham Forest,51.58178138,-0.003079316
Castle (Pub),Waltham Forest,51.58072859,-0.010977296
Nag's Head (Pub),Waltham Forest,51.58351247,-0.01075481
Queens Arms (Pub),Waltham Forest,51.58255368,-0.013077239
Village (Pub),Waltham Forest,51.58273737,-0.011712417
City Bar & Kitchen (Pub),City and County of the City of London,51.51517661,-0.077583277
Bell (Pub),Tower Hamlets,51.51581631,-0.075466403
Tracks&records (Pub),Tower Hamlets,51.51687837,-0.076617941
Simmons (Pub),City and County of the City of London,51.51812747,-0.078208488
Kings Stores (Pub),City and County of the City of London,51.51812747,-0.078208488
Astronomer (Pub),City and County of the City of London,51.51794797,-0.078778192
Grapeshots (Pub),Tower Hamlets,51.51808705,-0.077388593
Williams Ale & Cider House (Pub),City and County of the City of London,51.51834457,-0.078285829
Bar Locks (Pub),Tower Hamlets,51.51558815,-0.069249517
White Hart (Pub),Tower Hamlets,51.51574527,-0.07114542
Lizard Lounge (Pub),Redbridge,51.59383312,0.024605919
